x,u,r,p
1.84369e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.86373e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.88377e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.90381e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.92385e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.94389e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.96393e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.98397e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.00401e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.02405e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.04409e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.06413e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.08417e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.10421e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.12425e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.14429e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.16433e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.18437e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.20441e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.22445e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.24449e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.26453e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.28457e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.30461e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.32465e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.34469e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.36473e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.38477e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.40481e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.42485e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.44489e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.46493e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.48497e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.50501e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.52505e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.54509e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.56513e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.58517e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.60521e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.62525e-01,0.00000e+00,1.00000e+00,1.00000e+00
2.64529e-01,4.88437e-03,9.95879e-01,9.94235e-01
2.66533e-01,1.32344e-02,9.88865e-01,9.84446e-01
2.68537e-01,2.15844e-02,9.81890e-01,9.74739e-01
2.70541e-01,2.99345e-02,9.74955e-01,9.65114e-01
2.72545e-01,3.82845e-02,9.68060e-01,9.55571e-01
2.74549e-01,4.66345e-02,9.61203e-01,9.46109e-01
2.76553e-01,5.49846e-02,9.54385e-01,9.36728e-01
2.78557e-01,6.33346e-02,9.47606e-01,9.27426e-01
2.80561e-01,7.16846e-02,9.40866e-01,9.18203e-01
